Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Higher water prices,Efficiency regulations or standards,"SANASA implemented, in 1994, the Program to Combat Water Loss, and since then has been working continuously to improve the operational efficiency of the supply system, aiming to reduce physical losses, bringing as a direct result the reduction of costs and environmental impacts, and reduce non-physical losses, enabling the recovery of revenue. In 2007 he was the systematic analysis of the technical and operational parameters of the water system was introduced. This management allows the identification of critical points and the diagnosis of the causes in order to enable correction of faults or adoption of improvements, aiming to lower cost, faster time of implementation, effective result, promoting the sustainability of services. While the national average of losses in water distribution is 40%, SANASA’s index in 2012 was 19.3%, a percentage considered one of the lowest in the country.","(-22.744027, -46.937174)","(-14.235004, -51.92528)"
35872,Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Declining water quality,Conservation awareness and education,By developing actions and awareness campaign among the population.,"(-8.057838, -34.882897)","(-14.235004, -51.92528)"
54345,City Government of Davao,Davao,Philippines,South Asia and Oceania,Public,,2017,Regulatory,Other,Coordination with all concerned agencies needed,"(7.074755, 125.624539)","(12.879721, 121.774017)"
54614,Prefeitura da Cidade de São José do Rio Preto,São José do Rio Preto,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Programas de conscientização, sobre a importância do uso racional da água em escolas municipais. Aquisição e instalação de macromedidores. Treinamentos constantes de equipes de detecção de vazamentos e investimentos em equipamentos como Geofone
Estudos de viabilidade de novos mananciais de abastecimento. Reforma e ampliação da Estação de tratamento de água (em execução). Distribuição de água não potável para caminhões pipas cuja a finalidade do uso não é nobre (Lavagem de ruas, irrigação...). Recuperação de Áreas de preservação permanente  em córregos importantes para o abastecimento do município. Captação de água do rio Turvo.","(-20.811761, -49.376227)","(-14.235004, -51.92528)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation incentives,"O município vem trabalhando em algumas frentes para ajudar no combate ao problema, a elaboração do Plano de Saneamento da capital, o incentivo a criação de áreas verdes e a implementação da coleta seletiva de resíduos sólidos.","(-10.947247, -37.073082)","(-14.235004, -51.92528)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,Public,,2017,Declining water quality,Conservation incentives,"O município vem trabalhando em algumas frentes para ajudar no combate ao problema, a elaboração do plano de saneamento da capital, o incentivo a criação de áreas verdes e a implementação da coleta seletiva de resíduos sólidos.","(-10.947247, -37.073082)","(-14.235004, -51.92528)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,Public,,2017,Higher water prices,Water use restrictions,"A SEMA - Secretaria Municipal do meio Ambiente, através da sua coordenação de educação ambiental, vem fazendo um trabalho junto às comunidades locais, alertando para importância do uso racional do recurso para evitar desperdício e com isso manter equilibrada a oferta e a demanda pela água.","(-10.947247, -37.073082)","(-14.235004, -51.92528)"
54623,Prefeitura de Betim,Betim,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Um Programa de Educação Ambiental trabalha de forma sistematizada campanhas educativas de uso racional da água.,"(-19.967308, -44.20119)","(-14.235004, -51.92528)"
54623,Prefeitura de Betim,Betim,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Conservation incentives,A empresa concessionária está realizando as obras necessárias.,"(-19.967308, -44.20119)","(-14.235004, -51.92528)"
36223,Antananarivo,Antananarivo,Madagascar,Africa,Public,,2017,Declining water quality,Other,"diminuer la pollution des ressources en eaux par les déchets : création de comités de collecte de déchets dans les quartiers
Contrôles de rejets d'eaux usées dans le cours d'eau","(-18.87919, 47.507905)","(-18.766947, 46.869107)"
54623,Prefeitura de Betim,Betim,Brazil,Latin America,Public,,2017,Regulatory,Conservation incentives,"Legislação para fomento à conservação da água, como o reaproveitamento de água de chuva e uso de águas cinzas, está sendo elaborada.","(-19.967308, -44.20119)","(-14.235004, -51.92528)"
50386,Prefeitura de Cuiabá,Cuiabá,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation incentives,Programas de incentivos a conscientização do uso correto e adequado da água em nossa cidade,"(-15.881977, -52.266326)","(-14.235004, -51.92528)"
31173,Comune di Milano,Milano,Italy,Europe,Public,C40,2017,Other:,Watershed preservation,,"(45.802578, 9.086356)","(41.87194, 12.56738)"
59124,"City of Natchez, MS","Natchez, MS",USA,North America,Public,,2017,Inadequate or aging infrastructure,Conservation awareness and education,,"(31.560444, -91.403171)","(37.09024, -95.712891)"
54633,Prefeitura de Lorena,Lorena,Brazil,Latin America,Public,,2017,Declining water quality,Conservation incentives,Recuperação de nascentes,"(-22.733872, -45.120111)","(-14.235004, -51.92528)"
54633,Prefeitura de Lorena,Lorena,Brazil,Latin America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),Barragens de regularização de vazão do principal rio da cidade – Ribeirão Taboão.,"(-22.733872, -45.120111)","(-14.235004, -51.92528)"
50391,Prefeitura de Manaus,Manaus,Brazil,Latin America,Public,,2017,Declining water quality,Diversifying water supply (including new sources),"Como medida de garantia de acesso à água para toda a população da zona urbana, mas especialmente da zona rural (ribeirinha), a Prefeitura firmou convênio com o consulado do Japão, que instalou poços na Reserva de Desenvolvimento Sustentável Municipal e identificou locais estratégicos para abertura de poços artesianos na zona urbana servindo à diferentes comunidades.","(-3.119028, -60.021731)","(-14.235004, -51.92528)"
50391,Prefeitura de Manaus,Manaus,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,A Prefeitura vem trabalhando na revitalização do sistema de encanamentos para assegurar a chegada da água às regiões mais periféricas da Cidade a fim de que a água a ser consumida represente um menor risco à saúde pública.,"(-3.119028, -60.021731)","(-14.235004, -51.92528)"
54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Municipal water efficiency retrofits,Possibilidade de instalar um novo ponto de coleta de água superficial  do lado da UHE Lajeado.,"(-10.249091, -48.324286)","(-14.235004, -51.92528)"
54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,Public,,2017,Higher water prices,Conservation incentives,Preservando e recuperando as nascentes,"(-10.249091, -48.324286)","(-14.235004, -51.92528)"
